Regulator Name,Gene Set Name,KEGG Pathway Description,Total Genes,Gene Set Size,Regulator Target Set Size,Overlap,Total Genes,odds-ratio,p-value,Adjusted p-value
Rv2710,mtu00040,Pentose and glucuronate interconversions,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00051,Fructose and mannose metabolism,1171,15.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00052,Galactose metabolism,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00053,Ascorbate and aldarate metabolism,1171,4.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00061,Fatty acid biosynthesis,1171,13.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00071,Fatty acid degradation,1171,33.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00073,"Cutin, suberine and wax biosynthesis",1171,15.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00074,Mycolic acid biosynthesis,1171,36.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00100,Steroid biosynthesis,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00121,Secondary bile acid biosynthesis,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00130,Ubiquinone and other terpenoid-quinone biosynthesis,1171,9.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00190,Oxidative phosphorylation,1171,49.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00220,Arginine biosynthesis,1171,23.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00230,Purine metabolism,1171,51.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00240,Pyrimidine metabolism,1171,27.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00250,"Alanine, aspartate and glutamate metabolism",1171,27.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00260,"Glycine, serine and threonine metabolism",1171,25.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00261,Monobactam biosynthesis,1171,7.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00270,Cysteine and methionine metabolism,1171,35.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00280,"Valine, leucine and isoleucine degradation",1171,43.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00290,"Valine, leucine and isoleucine biosynthesis",1171,13.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00300,Lysine biosynthesis,1171,13.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00310,Lysine degradation,1171,22.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00311,Penicillin and cephalosporin biosynthesis,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00330,Arginine and proline metabolism,1171,18.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00332,Carbapenem biosynthesis,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00340,Histidine metabolism,1171,21.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00350,Tyrosine metabolism,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00360,Phenylalanine metabolism,1171,21.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00361,Chlorocyclohexane and chlorobenzene degradation,1171,4.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00362,Benzoate degradation,1171,24.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00364,Fluorobenzoate degradation,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00380,Tryptophan metabolism,1171,24.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1171,19.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00401,Novobiocin biosynthesis,1171,4.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00410,beta-Alanine metabolism,1171,13.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00430,Taurine and hypotaurine metabolism,1171,7.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00450,Selenocompound metabolism,1171,11.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00460,Cyanoamino acid metabolism,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00470,D-Amino acid metabolism,1171,8.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00480,Glutathione metabolism,1171,14.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00500,Starch and sucrose metabolism,1171,23.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00514,Other types of O-glycan biosynthesis,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00515,Mannose type O-glycan biosynthesis,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00520,Amino sugar and nucleotide sugar metabolism,1171,23.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00521,Streptomycin biosynthesis,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00523,Polyketide sugar unit biosynthesis,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00525,Acarbose and validamycin biosynthesis,1171,3.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00541,Biosynthesis of various nucleotide sugars,1171,15.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00542,O-Antigen repeat unit biosynthesis,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00543,Exopolysaccharide biosynthesis,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00550,Peptidoglycan biosynthesis,1171,19.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00552,Teichoic acid biosynthesis,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00561,Glycerolipid metabolism,1171,30.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00562,Inositol phosphate metabolism,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00564,Glycerophospholipid metabolism,1171,19.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00565,Ether lipid metabolism,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00571,Lipoarabinomannan (LAM) biosynthesis,1171,13.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00572,Arabinogalactan biosynthesis - Mycobacterium,1171,15.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00592,alpha-Linolenic acid metabolism,1171,3.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00600,Sphingolipid metabolism,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00620,Pyruvate metabolism,1171,43.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00621,Dioxin degradation,1171,4.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00622,Xylene degradation,1171,4.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00623,Toluene degradation,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00625,Chloroalkane and chloroalkene degradation,1171,8.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00626,Naphthalene degradation,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00627,Aminobenzoate degradation,1171,13.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00630,Glyoxylate and dicarboxylate metabolism,1171,39.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00640,Propanoate metabolism,1171,30.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00643,Styrene degradation,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00650,Butanoate metabolism,1171,37.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00660,C5-Branched dibasic acid metabolism,1171,9.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00670,One carbon pool by folate,1171,19.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00680,Methane metabolism,1171,21.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00710,Carbon fixation by Calvin cycle,1171,11.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00720,Other carbon fixation pathways,1171,36.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00730,Thiamine metabolism,1171,11.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00740,Riboflavin metabolism,1171,7.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00750,Vitamin B6 metabolism,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00760,Nicotinate and nicotinamide metabolism,1171,20.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00770,Pantothenate and CoA biosynthesis,1171,23.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00780,Biotin metabolism,1171,9.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00785,Lipoic acid metabolism,1171,12.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00790,Folate biosynthesis,1171,27.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00860,Porphyrin metabolism,1171,36.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00900,Terpenoid backbone biosynthesis,1171,23.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00903,Limonene degradation,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00906,Carotenoid biosynthesis,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00907,"Pinene, camphor and geraniol degradation",1171,9.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00910,Nitrogen metabolism,1171,22.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00920,Sulfur metabolism,1171,21.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00930,Caprolactam degradation,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00946,Degradation of flavonoids,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00970,Aminoacyl-tRNA biosynthesis,1171,69.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00983,Drug metabolism - other enzymes,1171,11.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00984,Steroid degradation,1171,41.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu00999,Biosynthesis of various plant secondary metabolites,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01040,Biosynthesis of unsaturated fatty acids,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01053,Biosynthesis of siderophore group nonribosomal peptides,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01100,Metabolic pathways,1171,698.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01110,Biosynthesis of secondary metabolites,1171,374.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01120,Microbial metabolism in diverse environments,1171,235.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01200,Carbon metabolism,1171,96.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01210,2-Oxocarboxylic acid metabolism,1171,35.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01212,Fatty acid metabolism,1171,35.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01220,Degradation of aromatic compounds,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01230,Biosynthesis of amino acids,1171,111.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01232,Nucleotide metabolism,1171,37.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01240,Biosynthesis of cofactors,1171,131.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01250,Biosynthesis of nucleotide sugars,1171,32.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01310,Nitrogen cycle,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01320,Sulfur cycle,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01501,beta-Lactam resistance,1171,9.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01502,Vancomycin resistance,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu01503,Cationic antimicrobial peptide (CAMP) resistance,1171,4.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu02010,ABC transporters,1171,84.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu02020,Two-component system,1171,61.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu02024,Quorum sensing,1171,24.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03008,Ribosome biogenesis in eukaryotes,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03010,Ribosome,1171,61.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03018,RNA degradation,1171,12.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03020,RNA polymerase,1171,4.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03030,DNA replication,1171,15.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03050,Proteasome,1171,3.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03060,Protein export,1171,18.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03070,Bacterial secretion system,1171,14.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03250,Viral life cycle - HIV-1,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03410,Base excision repair,1171,15.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03420,Nucleotide excision repair,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03430,Mismatch repair,1171,15.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03440,Homologous recombination,1171,22.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu03450,Non-homologous end-joining,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu04122,Sulfur relay system,1171,22.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu04141,Protein processing in endoplasmic reticulum,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu04146,Peroxisome,1171,11.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu04156,Integrated stress response (ISR) signaling pathway,1171,7.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu04980,Cobalamin transport and metabolism,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu04981,Folate transport and metabolism,1171,7.0,0.0,0.0,1171,,1.0,1.0
Rv2710,mtu05152,Tuberculosis,1171,34.0,0.0,0.0,1171,,1.0,1.0
Rv2711,mtu00010,Glycolysis / Gluconeogenesis,1171,31.0,9.0,1.0,1171,4.716666666666667,0.21518598725336202,1.0
Rv2711,mtu00020,Citrate cycle (TCA cycle),1171,29.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00030,Pentose phosphate pathway,1171,19.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00040,Pentose and glucuronate interconversions,1171,5.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00051,Fructose and mannose metabolism,1171,15.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00052,Galactose metabolism,1171,10.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00053,Ascorbate and aldarate metabolism,1171,4.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00061,Fatty acid biosynthesis,1171,13.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00071,Fatty acid degradation,1171,33.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00073,"Cutin, suberine and wax biosynthesis",1171,15.0,9.0,2.0,1171,25.252747252747252,0.005238141769998027,0.3745271365548589
Rv2711,mtu00074,Mycolic acid biosynthesis,1171,36.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00100,Steroid biosynthesis,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00121,Secondary bile acid biosynthesis,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00130,Ubiquinone and other terpenoid-quinone biosynthesis,1171,9.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00190,Oxidative phosphorylation,1171,49.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00220,Arginine biosynthesis,1171,23.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00230,Purine metabolism,1171,51.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00240,Pyrimidine metabolism,1171,27.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00250,"Alanine, aspartate and glutamate metabolism",1171,27.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00260,"Glycine, serine and threonine metabolism",1171,25.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00261,Monobactam biosynthesis,1171,7.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00270,Cysteine and methionine metabolism,1171,35.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00280,"Valine, leucine and isoleucine degradation",1171,43.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00290,"Valine, leucine and isoleucine biosynthesis",1171,13.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00300,Lysine biosynthesis,1171,13.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00310,Lysine degradation,1171,22.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00311,Penicillin and cephalosporin biosynthesis,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00330,Arginine and proline metabolism,1171,18.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00332,Carbapenem biosynthesis,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00340,Histidine metabolism,1171,21.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00350,Tyrosine metabolism,1171,10.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00360,Phenylalanine metabolism,1171,21.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00361,Chlorocyclohexane and chlorobenzene degradation,1171,4.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00362,Benzoate degradation,1171,24.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00364,Fluorobenzoate degradation,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00380,Tryptophan metabolism,1171,24.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1171,19.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00401,Novobiocin biosynthesis,1171,4.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00410,beta-Alanine metabolism,1171,13.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00430,Taurine and hypotaurine metabolism,1171,7.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00450,Selenocompound metabolism,1171,11.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00460,Cyanoamino acid metabolism,1171,6.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00470,D-Amino acid metabolism,1171,8.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00480,Glutathione metabolism,1171,14.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00500,Starch and sucrose metabolism,1171,23.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00514,Other types of O-glycan biosynthesis,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00515,Mannose type O-glycan biosynthesis,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00520,Amino sugar and nucleotide sugar metabolism,1171,23.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00521,Streptomycin biosynthesis,1171,10.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00523,Polyketide sugar unit biosynthesis,1171,6.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00525,Acarbose and validamycin biosynthesis,1171,3.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00541,Biosynthesis of various nucleotide sugars,1171,15.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00542,O-Antigen repeat unit biosynthesis,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00543,Exopolysaccharide biosynthesis,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00550,Peptidoglycan biosynthesis,1171,19.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00552,Teichoic acid biosynthesis,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00561,Glycerolipid metabolism,1171,30.0,9.0,2.0,1171,11.571428571428571,0.020433944149720412,0.9740180044700063
Rv2711,mtu00562,Inositol phosphate metabolism,1171,10.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00564,Glycerophospholipid metabolism,1171,19.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00565,Ether lipid metabolism,1171,5.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00571,Lipoarabinomannan (LAM) biosynthesis,1171,13.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00572,Arabinogalactan biosynthesis - Mycobacterium,1171,15.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00592,alpha-Linolenic acid metabolism,1171,3.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00600,Sphingolipid metabolism,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00620,Pyruvate metabolism,1171,43.0,9.0,1.0,1171,3.3333333333333335,0.28672278563828035,1.0
Rv2711,mtu00621,Dioxin degradation,1171,4.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00622,Xylene degradation,1171,4.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00623,Toluene degradation,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00625,Chloroalkane and chloroalkene degradation,1171,8.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00626,Naphthalene degradation,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00627,Aminobenzoate degradation,1171,13.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00630,Glyoxylate and dicarboxylate metabolism,1171,39.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00640,Propanoate metabolism,1171,30.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00643,Styrene degradation,1171,5.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00650,Butanoate metabolism,1171,37.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00660,C5-Branched dibasic acid metabolism,1171,9.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00670,One carbon pool by folate,1171,19.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00680,Methane metabolism,1171,21.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00710,Carbon fixation by Calvin cycle,1171,11.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00720,Other carbon fixation pathways,1171,36.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00730,Thiamine metabolism,1171,11.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00740,Riboflavin metabolism,1171,7.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00750,Vitamin B6 metabolism,1171,5.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00760,Nicotinate and nicotinamide metabolism,1171,20.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00770,Pantothenate and CoA biosynthesis,1171,23.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00780,Biotin metabolism,1171,9.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00785,Lipoic acid metabolism,1171,12.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00790,Folate biosynthesis,1171,27.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00860,Porphyrin metabolism,1171,36.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00900,Terpenoid backbone biosynthesis,1171,23.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00903,Limonene degradation,1171,5.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00906,Carotenoid biosynthesis,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00907,"Pinene, camphor and geraniol degradation",1171,9.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00910,Nitrogen metabolism,1171,22.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00920,Sulfur metabolism,1171,21.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00930,Caprolactam degradation,1171,6.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00946,Degradation of flavonoids,1171,1.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00970,Aminoacyl-tRNA biosynthesis,1171,69.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00983,Drug metabolism - other enzymes,1171,11.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00984,Steroid degradation,1171,41.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu00999,Biosynthesis of various plant secondary metabolites,1171,2.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01040,Biosynthesis of unsaturated fatty acids,1171,6.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01053,Biosynthesis of siderophore group nonribosomal peptides,1171,10.0,9.0,4.0,1171,154.13333333333333,3.325380317931217e-07,4.755293854641641e-05
Rv2711,mtu01100,Metabolic pathways,1171,698.0,9.0,3.0,1171,0.3359712230215827,0.9739310042337295,1.0
Rv2711,mtu01110,Biosynthesis of secondary metabolites,1171,374.0,9.0,4.0,1171,1.7124324324324325,0.31534569291883646,1.0
Rv2711,mtu01120,Microbial metabolism in diverse environments,1171,235.0,9.0,1.0,1171,0.49572649572649574,0.8678399865850547,1.0
Rv2711,mtu01200,Carbon metabolism,1171,96.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01210,2-Oxocarboxylic acid metabolism,1171,35.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01212,Fatty acid metabolism,1171,35.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01220,Degradation of aromatic compounds,1171,10.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01230,Biosynthesis of amino acids,1171,111.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01232,Nucleotide metabolism,1171,37.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01240,Biosynthesis of cofactors,1171,131.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01250,Biosynthesis of nucleotide sugars,1171,32.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01310,Nitrogen cycle,1171,6.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01320,Sulfur cycle,1171,5.0,9.0,0.0,1171,0.0,1.0,1.0
Rv2711,mtu01501,beta-Lactam resistance,1171,9.0,9.0,0.0,1171,0.0,1.0,1.0
